Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
James Logan ZW,Bronx Science IP,Will Aarons,AFF,29,27
Saratoga IK,Nova DJ,Minsig Hwang,AFF,29,28
New Trier CS,University AP,Caitlyn Jones,NEG,28,29
Vestavia Hills GJ,King AT,Jennifer Zheng,NEG,28,29
Lake Highland Prep AV,West Des Moines Valley CF,Stephen Scopa,AFF,29,28
Walt Whitman CB,Princeton ND,Tyler Wood,NEG,27,28
Westwood PM,Unionville DJ,Thomas Kim,AFF,30,30
Westlake AK,Bergen County Academies AK,Salem Clemens,NEG,29,29
Byram Hills MW,Lexington JB,Mike Girouard,NEG,28,28
Stoneman Douglas AR,Plano West JG,Carlos Astacio,AFF,29,29
Strake Jesuit  ZD,St Michael Albertville CS,Simone Braithwaite,AFF,29,29
Providence KB,Charlotte Latin EL,Matilda Stricherz,NEG,28,29
American Heritage Plantation SS,Stuyvesant LC,Kyle Kopf,AFF,29,28
Catonsville NF,BASIS Peoria PY,Renee Rose,AFF,29,28
Elkins AM,Harrison SN,Howard Wang,NEG,29,30
Montville AP,Scarsdale JT,James Stuckert,AFF,29,29
North Allegheny RR,Valor Christian LS,Karim Lakhani,AFF,29,28
American Heritage Plantation PG,Lake Highland Prep DP,Jason Smith,AFF,28,29
Rosemount CD,James Logan AG,Sudeshna Fisch,NEG,29,29
Park City ES,Mission San Jose AA,Kelly Schwab,AFF,29,29
Freehold Township SA,Lake Highland Prep KS,Annie (Bronx) Wang,NEG,28,28
Edgemont Junior-Senior AA,Stoneman Douglas GP,Steve George,NEG,29,29
Bergen County Academies EK,Iowa City West NW,Nate Kruger,NEG,29,29
George Washington KJ,Peninsula HC,David Yi,NEG,28,28
