Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Harker AG,St Francis SS,Ambika Sharma,AFF,27,25
St Francis LC,Fort Collins AL,Annette Davis,AFF,28,28
Saratoga UK,Newark Science VA,Noel Hayward,AFF,27,29
Dougherty Valley AGo,Quarry Lane ZD,Charles Karcher,NEG,29,29
Peninsula RM,Saratoga IK,Kemi Omoregie,AFF,29,28
Lynbrook SY,Harker PG,Annette Davis,NEG,28,30
Harker KB,BASIS San Antonio Shavano PK,Julian Kuffour,NEG,28,29
Cherry Creek SZ,Harker KMa,Dana Chen,NEG,28,29
Clovis North CH,Northland Christian LB,Andrew Overing,NEG,29,29
Harvard-Westlake LD,Mountain House SB,Aidan Dykstal,AFF,26,26
Nova 42 AY,Golden State KM,Sarah Kim,NEG,29,29
Marlborough EY,ModernBrain GM,Spencer Paul,AFF,28,28
Harvard-Westlake IM,Silver Creek VV,Shivane Sabharwal,AFF,28,28
Oak Hall KZ,North Star IT,Pranav Chillappagari,AFF,30,30
BASIS Phoenix ZJ,Harvard-Westlake SW,Kemi Omoregie,AFF,29,28
Brophy  CT,Cypress Bay IM,Tristan Shaughnessy,AFF,29,29
Oakwood School - North Hollywood MC,Brentwood JK,Michael Harris,AFF,28,28
Anderson BC,Marlborough JS,Jyleesa Hampton,AFF,30,29
Orange Lutheran AZ,Harvard-Westlake SK,Ben Barov,AFF,30,29
Brentwood RY,Lynbrook AI,Greg Hansen,AFF,29,27
Presentation NB,Fairview HW,Jordan Wang,AFF,27,26
Bishop's Independent AC,Anderson MR,Jake Keuhlen,NEG,21,25
Archbishop Mitty JL,Harvard-Westlake JI,Brianna Aaron,NEG,29,29
Dougherty Valley ST,Loyola LH,Viren Abhyankar,NEG,28,29
Dougherty Valley PC,Harker RM,Solomon Woldesilassie,NEG,27,29
Albuquerque LN,Lynbrook KD,Rishabh Krishnan,AFF,28,27
Yerba Buena JG,Marlborough ED,Jake Keuhlen,NEG,24,25
Cypress Bay HL,Plano East WZ,Jimi Morales,NEG,28,29
Bellarmine  EG,Quarry Lane MS,Hunter McFarland,NEG,29,29
Mountain House ES,Peninsula VB,Nicole Dao,NEG,27,28
St Francis MR,Harvard-Westlake AW,Lisa Weber,NEG,29,29
Peninsula HC,Coeur D'Alene CB,,"AFF BYE																									NEG BYE","AFF BYE																									NEG BYE",
Newark Science CS,Harker AD,Didi Barry,NEG,29,29
Marlborough WR,Dougherty Valley AMa,Spencer Paul,AFF,29,29
Loyola BM,Harker RT,Charles Karcher,NEG,29,29
Harker MH,Ferris TR,Shankar Krishnan,AFF,28,28
Lincoln WG,Isidore Newman DA,Lemar Karimi,NEG,28,29
Marlborough CL,Crescenta Valley AT,Hunter McFarland,NEG,29,29
Plano East NG,St Francis MG,Jordan Wang,AFF,28,28
Milpitas DY,Southlake Carroll PK,Madeleine Conrad-Mogin,NEG,28,28
Brophy  SA,Denver East TH,Didi Barry,AFF,28,29
Kinkaid SM,Loyola DB,Annabelle Long,AFF,28,28
Harvard-Westlake MP,Westlake EE,Alex Zhao,NEG,29,29
Loyola AP,Harvard-Westlake AG,Julian Kuffour,NEG,29,29
Foothill RW,Lynbrook AH,Jonathan Vu,NEG,27,28
Presentation IC,St Francis TG,Mike Murray,NEG,27,28
Harker ALe,Brophy  BF,Joshua Chung,AFF,30,29
Sanger MP,Cypress Bay OBr,Jonathan Vu,AFF,28,28
Presentation HM,Fort Collins ZG,Wes Loofbourrow,AFF,28,28
Saratoga AG,Lynbrook KA,Manveer Singh,AFF,30,30
Marlborough JH,Lincoln AW,Lindsey Williams,NEG,28,28
Harvard-Westlake CC,Northwood NA,Rodrigo Paramo,AFF,28,28
Peninsula AR,Harvard-Westlake JZ,Ben Barov,AFF,29,28
Chaminade  DV,Immaculate Heart ZB,Jongman Yoon,AFF,28,27
Silver Creek RN,Northland Christian ABr,Alan Fishman,NEG,30,30
Los Altos PD,Southlake Carroll TR,Whit Jackson,NEG,20,30
Bellarmine  KS,Brentwood JC,Khamani Griffin,NEG,30,30
Harker AK,Archbishop Mitty PK,Khamani Griffin,NEG,29,30
Carter KM,Beaver AM,Jongman Yoon,NEG,27,28
Dougherty Valley SB,Harvard-Westlake SL,Alex Zhao,AFF,29,28
Dougherty Valley SK,Brentwood HG,Viren Abhyankar,AFF,28,29
St Francis AF,Kinkaid KG,Hannah Flake,AFF,30,28
Ferris ML,St Francis KN,Stephen Uriarte,NEG,28,28
Loyola NT,St Francis AX,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Flintridge Prep AL,Archbishop Mitty JH,Ansuman Bardalai,NEG,29,29
Sage MP,Milpitas RP,Lena Mizrahi,AFF,29,28
Peninsula JN,Cypress Bay NB,Nina Potischman,AFF,29,29
Harker AC,Harvard-Westlake AM,David Dosch,NEG,29,29
Brentwood MM,Marlborough ML,Gabriel Gangoso,AFF,28,28
Dougherty Valley SP,Presentation RD,Kassi Eyre,NEG,25,30
Immaculate Heart RR,Oakwood School - North Hollywood WA,Jimi Morales,NEG,28,29
Nova 42 NC,Lynbrook AM,Manveer Singh,NEG,30,30
Dougherty Valley AP,Lynbrook AD,Lindsey Williams,AFF,29,28
Torrey Pines NK,Marlborough AW,Glenda Chang,AFF,26,26
Anderson AR,Harvard-Westlake NR,Ben Rosenthal,NEG,29,29
Sequoia AS,Harker SC,Sean Fahey,AFF,29,28
Torrey Pines AG,Dougherty Valley NB,Lemar Karimi,AFF,28,29
Immaculate Heart SO,Segerstrom AN,Amanda Yang,NEG,28,29
Immaculate Heart FP,Archbishop Mitty JP,Andrew Overing,NEG,29,30
Harker AS,Northland Christian JQ,Margaret Strong,AFF,29,29
Dougherty Valley SN,La Costa Canyon KK,Anusha Thotakura,AFF,27,25
Golden State AW,Quarry Lane MD,Aneesh Ankareddy,NEG,28,29
Fort Collins MR,Silver Creek KZ,Hui Liu,NEG,27,28
Mountain House IV,Immaculate Heart JL,Amanda Yang,NEG,29,29
St Francis AJ,Grand County TM,Vishwanatha Bhat,AFF,28,28
Fairview DL,Saratoga HH,Aneesh Ankareddy,NEG,28,30
Dougherty Valley AM,Northwood HS,Lena Mizrahi,AFF,28,29
St Francis VS,Buhach Colony MG,Arun Thaploo,AFF,28,28
Dougherty Valley KD,Brentwood LE,Danielle Dosch,AFF,29,29
Valley International Prep AC,Cypress Bay GB,David Escobar,AFF,29,29
