Aff,Neg,Judge,Result
North Allegheny RR,NSU SF,Braedon Kirkpatrick,AFF
BASIS Peoria AM,American Heritage Boca/Delray DM,Kristen Arnold,NEG
Bronx Science NK,Nashua HS South EG,Emmiee Malyugina,AFF
Northview YS,Lexington DY,Lindsey Perlman,NEG
Princeton TK,Plano East NGo,Andrew Lee,NEG
Lake Highland Prep PS,American Heritage Plantation NR,Lindsey Perlman,AFF
Park City NL,West HS SLC HZ,Aaron Timmons,NEG
Interlake HB,Flintridge Prep MC,Annabelle Long,AFF
Lake Highland Prep AV,Marlborough JH,Patrick Fox,AFF
Presentation RD,Southlake Carroll CC,Tristan Shaughnessy,AFF
Iowa City West NW,Strath Haven AM,Raul Larsen,NEG
Durham AAn,Greenhill RM,David Edwards,NEG
Harker RM,Harrison RA,Anna Myers,NEG
McNeil AG,Interlake TY,Nick Mirza,AFF
Interlake AS,Harrison AA,Michael O'Krent,NEG
Lindale PP,Northview NN,Arya Goel,AFF
Westlake FD,Greenhill AA,Evan Engel,NEG
Strake Jesuit  DL,Harvard-Westlake AG,Nelson Okunlola,NEG
La Salle MQ,Bronx Science LM,Jason Smith,NEG
Westlake EA,Claudia Taylor Johnson AP,Kyle Kopf,NEG
Immaculate Heart RR,Charlotte Latin VD,Jacob Palmer,AFF
Strake Jesuit  ZD,Mission San Jose AB,Claudia Ribera,AFF
Houston Memorial DX,Plano West DJ,Tajaih Robinson,AFF
Harker AM,Mission San Jose SR,Tom Evnen,AFF
Immaculate Heart SS,Harrison EM,kirtan patel,NEG
West Des Moines Valley KC,Albuquerque NP,Muhammad Khattak,AFF
American Heritage Plantation MC,Houston Memorial SC,James Stuckert,NEG
West Des Moines Valley AM,Albuquerque AK,Eunice Jung,AFF
Greenhill KD,Strake Jesuit  BE,jackson hanna,NEG
Interlake EL,Edina MK,X Braithwaite,NEG
Dougherty Valley NY,BASIS Peoria VP,Bharathi Rajan,AFF
Southlake Carroll AS,Flintridge Prep TV,Danielle Dosch,NEG
Sage Hill MP,Lexington AL,Patrick Fox,AFF
Marlborough JS,Peninsula AR,Scott Phillips,NEG
Apple Valley MA,Lexington AG,Joanne Park,NEG
Harvard-Westlake IC,Archbishop Mitty AS,Alex Zhao,AFF
