Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
St Francis TG,Langham Creek IM,Irene Chou,AFF,30,29
Lynbrook AD,Mountain House IV,Noel Hayward,NEG,29,30
North Star IT,Lynbrook YM,Shankar Krishnan,AFF,30,30
Harvard-Westlake SK,Anderson BC,Addie Wilson,NEG,29,29
ModernBrain GM,Presentation NB,Kelly Shen,AFF,28,29
Marlborough ML,Brophy  SA,Spencer Paul,NEG,28,28
Lynbrook AJ,Marlborough CL,Jonathan Alston,NEG,28,29
Brentwood HG,Dougherty Valley KD,Ben Barov,NEG,30,30
Lincoln AW,Torrey Pines JS,Didi Barry,NEG,29,29
Cristo Rey MD,Presentation IC,Lisa Weber,NEG,29,30
Harker RM,Sequoia AS,Ansuman Bardalai,NEG,29,29
Brentwood JK,Harvard-Westlake IM,Alina Wang,NEG,28,29
Fort Collins ZG,Clovis North CH,Vishwanatha Bhat,NEG,29,29
Brentwood DL,Saratoga UK,Charles Karcher,NEG,29,29
Harvard-Westlake SW,Golden State SS,Mike Murray,AFF,27,27
Harvard-Westlake AW,Albuquerque LN,SunHee Simon,NEG,28,28
Northwood NA,Immaculate Heart RR,Shivane Sabharwal,AFF,28,28
Harker RT,Harvard-Westlake JIm,Madeleine Conrad-Mogin,AFF,29,28
Lynbrook AM,Lincoln WG,Aidan Dykstal,AFF,29,28
Harker KMa,Harvard-Westlake MP,Nick Coburn-Palo,NEG,29,29
Kinkaid KG,Nova 42 AY,Nick Coburn-Palo,NEG,29,29
Isidore Newman DA,Dougherty Valley AM,Rodrigo Paramo,NEG,28,28
Presentation MS,Peninsula JN,Hunter McFarland,AFF,29,29
Crescenta Valley AT,Harker SS,Dana Chen,AFF,29,29
Harvard-Westlake SL,Oakwood School - North Hollywood MC,Jack Coyle,AFF,28,28
Beckman VS,Loyola NT,Mike Murray,AFF,28,21
ModernBrain ML,Harvard-Westlake JH,Courtney Coffman,AFF,28,28
Harvard-Westlake AM,Los Altos PD,Alex Zhao,AFF,30,30
Fort Collins AL,Dougherty Valley PC,Wes Loofbourrow,NEG,30,28
St Francis KN,Foothill BF,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Ferris TR,St Francis AJ,Ambika Sharma,AFF,27,26
Quarry Lane ZD,BASIS Phoenix ZJ,Jonathan Alston,AFF,30,28
La Costa Canyon KK,Brentwood MM,Brandon Schellhaass,NEG,28,29
Golden State KM,Harvard-Westlake HM,Maya Sanghavi,AFF,27,28
Saratoga IK,Harvard-Westlake LD,Lisa Weber,AFF,30,30
Milpitas AK,Harker AK,Manveer Singh,AFF,24,25
Harker AM,Archer School for Girls JT,Madeleine Conrad-Mogin,AFF,29,28
Davis Senior CZ,Torrey Pines AG,Jordan Wang,NEG,26,26
Northland Christian LB,Menlo-Atherton SN,Alan Fishman,NEG,30,30
Lynbrook AH,Kinkaid SM,Carter Henman,NEG,28,29
Immaculate Heart LB,Harker ALe,Amanda Yang,NEG,28,29
Brophy  BF,NSU SF,SunHee Simon,NEG,28,29
Archbishop Mitty PK,Yerba Buena JG,Nicole Dao,NEG,28,29
Beaver AM,Harvard-Westlake AL,Jacob Lugo,NEG,28,29
Harker KM,Dougherty Valley AP,Sean Fahey,AFF,29,29
Loyola DB,Silver Creek RN,Gabriel Gangoso,NEG,28,28
Plano East WZ,Harvard-Westlake CC,Hailey Robertson,NEG,29,29
Harker DV,Golden State EC,Owen Sleigh,AFF,29,28
Newark Science VA,Archbishop Mitty JL,Sarah Roberts,NEG,29,29
Cypress Bay GB,Oak Hall KZ,Claudia Ribera,NEG,28,30
Northwood HS,Dougherty Valley AR,Lindsey Williams,NEG,29,30
Quarry Lane MD,Lynbrook RP,Hanna Griffin,NEG,29,30
Oakwood BM,Dougherty Valley SN,Kassi Eyre,AFF,24,25
Lynbrook KA,Harker AL,Shankar Krishnan,AFF,29,29
Northland Christian JQ,Milpitas DY,Lena Mizrahi,AFF,29,28
Harvard-Westlake JZ,Palo Alto HS Independent EH,Manav Rathod,AFF,28,28
Lynbrook KD,Brentwood RY,Alan Fishman,AFF,30,30
Marlborough AW,Fairview EH,Kate Totz,NEG,28,28
Archbishop Mitty JH,Presentation AG,Pranav Chillappagari,NEG,29,29
Coeur D'Alene CB,St Francis VS,Irene Chou,NEG,30,30
Loyola BC,Cypress Bay HL,Khoa Pham,AFF,29,28
Harker NL,Sanger MP,Annette Davis,AFF,28,29
Northland Christian EN,Brophy  CT,Lindsey Williams,NEG,29,29
Silver Creek KZ,Fairview JZ,Brandon Schellhaass,AFF,28,28
Harvard-Westlake GM,Peninsula OL,Andrew Overing,AFF,28,28
Peninsula CC,St Francis MR,Jimi Morales,NEG,27,28
St Francis SS,Peninsula HC,Jimi Morales,AFF,28,27
Mountain House SB,Dougherty Valley SP,Aneesh Ankareddy,NEG,27,29
Immaculate Heart MM,Cypress Bay PS,Shivane Sabharwal,NEG,28,28
Harvard-Westlake AG,Santa Monica RE,Alex Zhao,NEG,30,30
Grand County TM,Dougherty Valley KK,Maanik Chotalla,NEG,28,29
Northland Christian ABr,Albuquerque SR,Akash Rathod,NEG,29,30
Southlake Carroll TR,Loyola SN,Jack Coyle,AFF,29,29
Segerstrom AN,Immaculate Heart FP,Rishabh Krishnan,NEG,30,30
Southlake Carroll PK,Immaculate Heart BC,Tristan Shaughnessy,NEG,29,29
Dougherty Valley AMa,Orange Lutheran AZ,Lena Mizrahi,NEG,29,29
Cypress Bay IM,St Francis AB,Ambika Sharma,AFF,28,28
Harker DS,Bellarmine  EG,Didi Barry,NEG,29,30
Saratoga HH,Marlborough EY,Nick Montecalvo,NEG,28,29
Brentwood LE,Ferris ML,Wes Loofbourrow,AFF,28,28
Harvard-Westlake SM,Dougherty Valley SK,selena zhang,AFF,30,28
Beckman CK,St Francis LC,Nathaniel Clutter,AFF,30,20
Dougherty Valley AG,Fort Collins MR,Aneesh Ankareddy,AFF,27,25
St Francis AX,Chaminade  DV,Stephen Uriarte,NEG,28,28
Presentation RD,Torrey Pines NK,Lemar Karimi,AFF,27,26
Menlo-Atherton SC,Dougherty Valley ST,Annabelle Long,NEG,28,28
Archbishop Mitty AS,Nova 42 AM,Maya Sanghavi,AFF,28,28
Oakwood School - North Hollywood WA,Cherry Creek SZ,Jongman Yoon,NEG,28,28
Fairview HW,Brentwood SR,Jyleesa Hampton,NEG,28,29
Loyola JC,Harvard-Westlake JG,Sarah Roberts,AFF,29,30
Immaculate Heart ZB,Valley International Prep MA,Spencer Paul,NEG,28,28
Anderson MR,Peninsula RM,Indu Pandey,NEG,28,29
Harker AD,Foothill RW,Joshua Chung,AFF,29,28
Archbishop Mitty JP,Dougherty Valley AGo,Viren Abhyankar,AFF,30,29
Newark Science SB,Peninsula AR,Indu Pandey,AFF,29,29
Immaculate Heart JL,Harker MH,Sarah Kim,NEG,29,30
Denver East TH,Loyola AP,Nina Potischman,NEG,28,29
Silver Creek VV,Flintridge Prep AL,Manav Rathod,NEG,28,28
Harvard-Westlake BC,St Francis SCh,,"AFF BYE																									NEG BYE","AFF BYE																									NEG BYE",
Mira Loma AT,Carter KM,Vishwanatha Bhat,AFF,29,29
Torrey Pines LL,Immaculate Heart SO,Ben Barov,NEG,28,28
Cypress Bay OBr,Harvard-Westlake IC,Nina Potischman,NEG,28,29
